file_id,file_name,file_size,case_id,case_submitter_id,sample_type
7c865b0c-f7e8-49b0-85fd-be4c1d92a53e,cc475b4f-ca87-4d3d-8231-dba133114fd2.rna_seq.augmented_star_gene_counts.tsv,4232428,85b09cf2-a423-4118-b83e-ea9beafa9059,DLBCL11191,Tumor
134e10a1-2dd5-47fe-8886-2670e5ce197a,0b93bb83-0393-48d5-81f5-576358692ec1.rna_seq.augmented_star_gene_counts.tsv,4231334,93c20bfb-2bbe-479e-b41c-aa4d220c680b,DLBCL10991,Tumor
2c4123b4-a5ab-4a42-8507-f43fe34183bc,2f714370-f64a-42f3-8318-f94b06c217a4.rna_seq.augmented_star_gene_counts.tsv,4225180,864508a5-5b65-476a-96b4-b0bc3e7b0eee,DLBCL10530,Tumor
e4c73b94-b722-465d-9f90-4475f1f0e772,aba4c1ab-d6c6-4624-897c-938b0b029e81.rna_seq.augmented_star_gene_counts.tsv,4232084,94d33a20-0d0f-43d6-a835-ae52b9d9326d,DLBCL10959,Tumor
758ca584-fd3c-4366-adcc-9926cd333538,45fa4c33-5ac5-42ba-b266-1db9fd4baf2b.rna_seq.augmented_star_gene_counts.tsv,4229161,950625fc-7c83-4a71-8dca-5235884cc8fd,DLBCL10900,Tumor
c741215b-6acb-433b-8686-ce3016dfcde8,22adeb20-037d-48f0-8756-9383f1cc923c.rna_seq.augmented_star_gene_counts.tsv,4227229,871f940a-2dab-4d4d-a668-fa1a20dcef41,DLBCL11259,Tumor
9dc54799-6113-452d-8394-8aeeb8cf3aff,1fd37558-08a0-41c4-9bf0-f814893111cc.rna_seq.augmented_star_gene_counts.tsv,4228961,889aa09f-10cd-4fee-bba7-2092f56945f4,DLBCL10951,Tumor
cbcea98a-c0ad-497e-a19b-216a2c469563,aff39087-5acc-483a-85c9-629b5b8d5857.rna_seq.augmented_star_gene_counts.tsv,4245492,970cc172-89f0-442f-9d8f-217d438ab064,DLBCL10862,Tumor
9c3a1ebd-9a78-48b9-ae8e-c68a6577093e,6f9dac40-70fd-4ec1-ad83-c2eb1df09c49.rna_seq.augmented_star_gene_counts.tsv,4231324,88e5974d-ba77-4ac9-abd1-eea0713e65c0,DLBCL11675,Tumor
b00e0487-cb28-43fb-8e9e-d25a93a863a6,c02b8ffb-0e23-4a95-9a42-3866180dc0c8.rna_seq.augmented_star_gene_counts.tsv,4246557,985112c4-3432-490c-b2af-53bcbf5029cb,DLBCL11590,Tumor
028fc453-4d32-4791-a656-06ec9832a8f8,59ff73d8-effe-4154-98cc-1d2fa6f96b9b.rna_seq.augmented_star_gene_counts.tsv,4240142,897362fe-c6c0-4860-8db4-e6538c04f460,DLBCL11438,Tumor
d00355d3-e851-48a1-a559-a783864ad581,ae12f533-3423-4e59-8896-e2e1ac1aff69.rna_seq.augmented_star_gene_counts.tsv,4239502,9a87f654-b742-4df3-9a69-0afd366c85b3,DLBCL10477,Tumor
ef69507e-c4ee-4499-a855-a9ec1de6294e,cc642108-ac0e-4cd9-a56d-8031147cf19d.rna_seq.augmented_star_gene_counts.tsv,4230412,89a330b5-09c1-4b1e-b208-bff5091f9ac6,DLBCL11489,Tumor
4aab366e-28bb-492f-8faa-53c7dd3bec64,04c153b4-7a0c-469b-ad49-f879ae5154bf.rna_seq.augmented_star_gene_counts.tsv,4215021,a644fd0d-f8a2-42fc-bfa9-102d6111f27c,DLBCL10492,Tumor
d22758d1-03c9-4218-bb27-34ac7a6aea5d,3915c3da-3219-4128-962a-0d66d322972f.rna_seq.augmented_star_gene_counts.tsv,4253437,a74107bf-74bb-4508-9695-9b42740e1e12,DLBCL10901,Tumor
239bc9d3-6237-4535-8a63-81eb0ea483bd,e2404dec-c385-4b7e-9812-b75bb3cddfa4.rna_seq.augmented_star_gene_counts.tsv,4196575,9ac3bee0-b19b-4283-a0da-5916e8eacbf5,DLBCL10481,Tumor
b627cfb5-7c23-45c2-8575-6fb0edb08f40,8b17075c-f905-413f-b25d-51a3f8c5406a.rna_seq.augmented_star_gene_counts.tsv,4240613,9b3d5177-f444-429e-a9c5-680a5e87f2bb,DLBCL10509,Tumor
ca7e1ea6-ad14-44e0-8a85-74dea8085803,ada29587-e7d8-4ace-9203-677348d5c55d.rna_seq.augmented_star_gene_counts.tsv,4228814,a7939eef-1a8c-4898-b3a4-0ab04333e709,DLBCL10516,Tumor
